id,price
7129300520,221900
6414100192,538000
5631500400,180000
2487200875,604000
1954400510,510000
7237550310,1230000
1321400060,257500
2008000270,291850
2414600126,229500
3793500160,323000
1736800520,662500
9212900260,468000
114101516,310000
6054650070,400000
1175000570,530000
9297300055,650000
1875500060,395000
6865200140,485000
16000397,189000
7983200060,230000
6300500875,385000
2524049179,2000000
7137970340,285000
8091400200,252700
3814700200,329000
1202000200,233000
1794500383,937000
3303700376,667000
5101402488,438000
1873100390,719000
8562750320,580500
2426039314,280000
461000390,687500
7589200193,535000
7955080270,322500
9547205180,696000
9435300030,550000
2768000400,640000
7895500070,240000
2078500320,605000
5547700270,625000
7766200013,775000
7203220400,861990
9270200160,685000
1432701230,309000
8035350320,488000
8945200830,210490
4178300310,785000
9215400105,450000
822039084,1350000
5245600105,228000
7231300125,345000
7518505990,600000
3626039271,585000
4217401195,920000
9822700295,885000
9478500640,292500
2799800710,301000
7922800400,951000
8079040320,430000
1516000055,650000
9558200045,289000
5072410070,505000
9528102996,549000
1189001180,425000
3253500160,317625
3394100030,975000
3717000160,287000
1274500060,204000
1802000060,1330000
1525059190,1040000
1049000060,325000
8820901275,571000
5416510140,360000
3444100400,349000
3276920270,832500
4036801170,380000
2391600320,480000
6300000287,410000
1531000030,720000
5104520400,390000
7437100340,360000
9418400240,355000
1523059105,356000
1133000671,315000
4232902595,940000
2599001200,305000
3342103156,461000
1332700270,215000
3869900162,335000
2791500270,243500
5036300431,1100000
4168000060,153000
6021501535,430000
6021501535,700000
1483300570,905000
3422049190,247500
1099611230,199000
722079104,314000
7338200240,437500
1952200240,850830
5200100125,555000
7214720075,699950
2450000295,1090000
6197800045,290000
1328310370,375000
546000875,460000
3530510041,188500
1853000400,680000
3134100116,470000
9545230140,597750
3362400511,570000
2525310310,272500
6126500060,329950
8961960160,480000
3626039325,740500
3362400431,518500
4060000240,205425
3454800060,171800
1695900060,535000
7278700070,660000
6675500070,391500
3626039187,395000
3524049083,445000
3275860240,770000
4389200955,1450000
4058801670,445000
8732020310,260000
2331300505,822500
7853210060,430000
3668000070,212000
9545240070,660500
1243100136,784000
8929000270,453246
2767602356,675000
921049315,199000
3655000070,220000
4027700812,452000
3992700335,382500
2767603505,519950
4232901525,665000
1777500060,527700
1432900240,205000
6140100875,420000
6071600370,500000
1526069017,921500
809001525,890000
3224079105,430000
8075400570,258000
1994200024,511000
3362900810,532170
1324300398,560000
537000445,282950
7855801670,2250000
7920100045,350000
8960000030,215000
6388930390,650000
8731900200,320000
8029200135,247000
1081200350,320000
84000105,255000
3756500060,438000
7215720160,900000
3574800520,441000
2617300160,420000
2558660270,370000
2009000370,269950
1836980160,807100
3261020370,653000
1755700060,371500
4330600435,284000
9542800700,272000
1999700045,313000
1762600070,917500
1687900520,673000
7234600798,425000
3881900445,399950
2254502445,385000
5437810320,269950
9158100075,330000
3830630310,260000
8123100045,470000
3127200041,589000
6661200320,163500
11510310,835000
825059270,1100000
8731951370,269000
1954440060,560000
2264500350,615000
1115810060,585188
9477200200,305000
1432600560,166950
2287000060,799000
3663500060,400000
3996900125,230000
7796450200,256883
7549802535,423000
3278600320,465000
2824079053,440000
1222069094,385000
3542300060,210000
2222059065,297000
7551300060,470000
100600550,226500
3211100860,274250
3456000310,840000
9526600140,677900
7465900060,425000
1222000055,180250
6300000550,464000
2310030510,320000
1025049114,625504
8677300550,592500
4014400292,465000
1102000196,477000
257000138,280000
46100204,1510000
1909600046,445838
1250202145,1070000
7611200125,467000
5611500140,686000
7138000260,279950
626059335,527000
1922059282,325000
705700390,328000
7454001200,390000
8682281200,479950
7972000200,264950
722059070,235000
7202340400,516500
8096000060,655000
2424000060,500000
9264902050,315000
943100260,213000
3677400445,475000
1762600320,1030000
4058000060,416000
7228500560,410000
326069104,800000
5152100060,472000
3584000310,225000
8150100045,210000
1868901275,455000
6131600075,225000
9468200125,480000
8029510030,363000
2025069065,2400000
7899800890,181000
3021059276,250000
3797001895,481000
3832710960,260000
1310430400,455000
1422300030,415000
1105000588,349500
3830630060,245000
5101404898,592500
7972601890,385000
5127001620,315000
9407100800,255000
1873100060,693000
8722101360,780000
8644000060,237000
3325069129,525000
1400300055,425000
2123039032,369900
8078560140,290000
3438500192,285000
7974200510,415000
2557000400,272500
7960900060,2900000
4054500390,1370000
6378500125,436000
1745100140,210000
2976800796,236000
4235400186,331000
4215100060,365000
9189700045,450000
1126049053,770000
2022069200,455000
9412900055,405000
1722059235,304900
6874200960,170000
7424700045,2050000
7202360350,780000
5634500392,330000
1509500060,370000
7214810350,467000
6647200060,405000
9552700140,675000
2200500350,500000
6113400046,389999
6619910140,630000
1115450240,360000
6073240060,580000
9297300045,550000
9510920070,879000
5468730030,265000
8079030390,446500
600000152,404000
1840000030,267500
3225069065,3080000
