sqft_above,sqft_lot15,sqft_living15,waterfront,view,condition,grade,bedrooms,bathrooms,sqft_basement_cat,floors,yr_built_cat,zip,price,bathrooms_cat
-0.737418453090828,-0.3419703739157777,-1.0435063032773886,0,0,3,7,3,1.0,1,1.0,1,1,221900,0
0.7057407364025102,0.05786924865539093,-0.29427650402078115,0,0,3,7,3,2.25,2,2.0,1,1,538000,1
-1.8821998350599705,0.12674984690226967,1.121918898119223,0,0,3,6,2,1.0,1,1.0,1,0,180000,0
-1.0388813742000824,-0.5111606344096569,-0.9944630725257168,0,0,5,7,4,3.0,3,1.0,1,1,604000,1
0.12511410069572268,0.03474100559793787,-0.09754044140885598,0,0,3,8,3,2.0,1,1.0,1,0,510000,1
1.9033870604898837,2.6409679863369098,2.59927683004972,0,0,3,11,4,4.5,4,1.0,2,0,1230000,2
0.17322828084609335,-0.0897732669661494,0.5602964748159546,0,0,3,7,3,2.25,1,2.0,2,0,257500,1
-1.0140841305564974,0.3588260784089131,-0.3697641681305274,0,0,3,7,3,1.5,1,1.0,1,1,291850,0
-1.0388813742000824,0.1347596941517807,-0.13219124270892257,0,0,3,7,3,1.0,3,1.0,1,1,229500,0
0.3967699765080756,0.046197637174479014,0.7523440652111205,0,0,3,7,3,2.5,1,2.0,2,0,323000,1
0.3603170507909116,0.2546664198108807,0.5231656284021515,0,0,3,8,3,2.5,4,1.0,1,0,662500,1
-1.5744112141426967,-0.26030784234531884,-1.0683671189691053,0,0,4,7,2,1.0,2,1.0,1,1,468000,0
-0.2591835086553413,0.677983550643662,-0.13219124270892257,0,0,4,7,3,1.0,1,1.5,1,0,310000,0
-0.3639536639145716,0.4195791253480292,-0.9702732663586419,0,0,4,7,3,1.75,1,1.0,1,0,400000,0
0.2979112769021034,-0.5539901017709963,-0.9944630725257168,0,0,3,7,5,2.0,1,1.5,1,1,530000,1
0.5019606692616834,-0.8312105022111053,0.4277467138565771,0,3,3,9,4,3.0,3,2.0,1,1,650000,1
0.3967699765080756,0.7914425099539252,0.052722764017772254,0,0,3,7,3,2.0,1,2.0,1,0,395000,1
0.010309293787277839,-0.7258758408393651,-0.44753958972205393,0,0,4,7,4,1.0,1,1.5,1,1,485000,0
